input,output
top 5 players by offensive rebound percentage in 2019,"SELECT p.player_name, ps.oreb_pct FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22018 AND ps.gp >= 20 ORDER BY ps.oreb_pct DESC LIMIT 5;"
top 5 players by defensive rebound percentage in 2018,"SELECT p.player_name, ps.dreb_pct FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22017 AND ps.gp >= 20 ORDER BY ps.dreb_pct DESC LIMIT 5;"
which player had the most triple doubles in 2023,"SELECT p.player_name, pg.td3 FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22022 ORDER BY pg.td3 DESC LIMIT 1;"
which player had the most double doubles in 2022,"SELECT p.player_name, pg.dd2 FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22021 ORDER BY pg.dd2 DESC LIMIT 1;"
top 5 players by triple doubles in 2021,"SELECT p.player_name, pg.td3 FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22020 ORDER BY pg.td3 DESC LIMIT 5;"
top 10 players by double doubles in 2020,"SELECT p.player_name, pg.dd2 FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22019 ORDER BY pg.dd2 DESC LIMIT 10;"
best scorer in 2023,"SELECT p.player_name, ps.pts FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22022 ORDER BY ps.pts DESC LIMIT 1;"
best rebounder in 2022,"SELECT p.player_name, ps.reb FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22021 ORDER BY ps.reb DESC LIMIT 1;"
best passer in 2021,"SELECT p.player_name, ps.ast FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22020 ORDER BY ps.ast DESC LIMIT 1;"
best defender by steals in 2020,"SELECT p.player_name, pg.stl FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22019 ORDER BY pg.stl DESC LIMIT 1;"
best shot blocker in 2019,"SELECT p.player_name, pg.blk FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22018 ORDER BY pg.blk DESC LIMIT 1;"
top scorer in nba history,"SELECT p.player_name, SUM(pg.pts) AS career_pts FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id GROUP BY p.player_name ORDER BY career_pts DESC LIMIT 1;"
top rebounder in nba history,"SELECT p.player_name, SUM(pg.reb) AS career_reb FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id GROUP BY p.player_name ORDER BY career_reb DESC LIMIT 1;"
top assist leader in nba history,"SELECT p.player_name, SUM(pg.ast) AS career_ast FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id GROUP BY p.player_name ORDER BY career_ast DESC LIMIT 1;"
top shot blocker in nba history,"SELECT p.player_name, SUM(pg.blk) AS career_blk FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id GROUP BY p.player_name ORDER BY career_blk DESC LIMIT 1;"
top steal leader in nba history,"SELECT p.player_name, SUM(pg.stl) AS career_stl FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id GROUP BY p.player_name ORDER BY career_stl DESC LIMIT 1;"
LeBron's points per game in 2023,"SELECT p.player_name, ps.pts FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22022 AND p.player_name = 'LeBron James';"
LeBron's rebounds per game in 2022,"SELECT p.player_name, ps.reb FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22021 AND p.player_name = 'LeBron James';"
LeBron's assists per game in 2021,"SELECT p.player_name, ps.ast FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22020 AND p.player_name = 'LeBron James';"
LeBron's stats in 2020,"SELECT p.player_name, ps.pts, ps.reb, ps.ast, ps.net_rating FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22019 AND p.player_name = 'LeBron James';"
Stephen Curry's three pointers made in 2016,"SELECT p.player_name, pg.fg3m FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22015 AND p.player_name = 'Stephen Curry';"
Stephen Curry's three point percentage in 2016,"SELECT p.player_name, pg.fg3_pct FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22015 AND p.player_name = 'Stephen Curry';"
Kevin Durant's field goal percentage in 2014,"SELECT p.player_name, pg.fg_pct FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22013 AND p.player_name = 'Kevin Durant';"
Giannis's stats in 2019,"SELECT p.player_name, ps.pts, ps.reb, ps.ast, ps.net_rating FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22018 AND p.player_name = 'Giannis Antetokounmpo';"
James Harden's assists per game in 2020,"SELECT p.player_name, ps.ast FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22019 AND p.player_name = 'James Harden';"
Russell Westbrook's triple doubles in 2017,"SELECT p.player_name, pg.td3 FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22016 AND p.player_name = 'Russell Westbrook';"
Kawhi Leonard's steals per game in 2016,"SELECT p.player_name, pg.stl FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22015 AND p.player_name = 'Kawhi Leonard';"
Rudy Gobert's blocks in 2019,"SELECT p.player_name, pg.blk FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22018 AND p.player_name = 'Rudy Gobert';"
Kobe Bryant's scoring average in 2006,"SELECT p.player_name, ps.pts FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22005 AND p.player_name = 'Kobe Bryant';"
Shaquille O'Neal's field goal percentage in 2001,"SELECT p.player_name, pg.fg_pct FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22000 AND p.player_name = 'Shaquille O''Neal';"
Allen Iverson's points per game in 2001,"SELECT p.player_name, ps.pts FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22000 AND p.player_name = 'Allen Iverson';"
Dirk Nowitzki's stats in 2007,"SELECT p.player_name, ps.pts, ps.reb, ps.ast FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22006 AND p.player_name = 'Dirk Nowitzki';"
Tim Duncan's rebounds in 2003,"SELECT p.player_name, ps.reb FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22002 AND p.player_name = 'Tim Duncan';"
Kevin Garnett's net rating in 2004,"SELECT p.player_name, ps.net_rating FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22003 AND p.player_name = 'Kevin Garnett';"
all players who scored more than 30 points per game in 2023,"SELECT p.player_name, ps.pts FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22022 AND ps.pts > 30 ORDER BY ps.pts DESC;"
which players averaged over 10 rebounds in 2022,"SELECT p.player_name, ps.reb FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22021 AND ps.reb > 10 ORDER BY ps.reb DESC;"
which players averaged over 10 assists per game in 2021,"SELECT p.player_name, ps.ast FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22020 AND ps.ast > 10 ORDER BY ps.ast DESC;"
players who shot over 50 percent from the field in 2020,"SELECT p.player_name, pg.fg_pct FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22019 AND pg.fg_pct > 0.50 AND pg.fga >= 100 ORDER BY pg.fg_pct DESC;"
players who shot over 40 percent from three in 2019,"SELECT p.player_name, pg.fg3_pct FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22018 AND pg.fg3_pct > 0.40 AND pg.fg3a >= 50 ORDER BY pg.fg3_pct DESC;"
players who shot over 90 percent from the free throw line in 2018,"SELECT p.player_name, pg.ft_pct FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22017 AND pg.ft_pct > 0.90 AND pg.fta >= 50 ORDER BY pg.ft_pct DESC;"
players who had more than 100 blocks in 2017,"SELECT p.player_name, pg.blk FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22016 AND pg.blk > 100 ORDER BY pg.blk DESC;"
players who had more than 150 steals in 2016,"SELECT p.player_name, pg.stl FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22015 AND pg.stl > 150 ORDER BY pg.stl DESC;"
players who had more than 2000 points in 2015,"SELECT p.player_name, pg.pts FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22014 AND pg.pts > 2000 ORDER BY pg.pts DESC;"
players who had more than 20 triple doubles in 2017,"SELECT p.player_name, pg.td3 FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22016 AND pg.td3 > 20 ORDER BY pg.td3 DESC;"
all players from the USA,SELECT player_name FROM player WHERE country = 'USA' ORDER BY player_name;
all players from France,SELECT player_name FROM player WHERE country = 'France' ORDER BY player_name;
players drafted in the first round in 2003,"SELECT player_name, draft_number FROM player WHERE draft_year = 2003 AND draft_round = 1 ORDER BY draft_number;"
players who went undrafted,SELECT player_name FROM player WHERE draft_round = 'Undrafted' ORDER BY player_name;
players drafted number 1 overall,"SELECT player_name, draft_year FROM player WHERE draft_number = 1 ORDER BY draft_year DESC;"
players from Duke,SELECT player_name FROM player WHERE college = 'Duke' ORDER BY player_name;
players from Kentucky,SELECT player_name FROM player WHERE college = 'Kentucky' ORDER BY player_name;
players with a net rating above 10 in 2023,"SELECT p.player_name, ps.net_rating FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22022 AND ps.net_rating > 10 AND ps.gp >= 20 ORDER BY ps.net_rating DESC;"
players with a usage rate above 30 percent in 2022,"SELECT p.player_name, ps.usg_pct FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22021 AND ps.usg_pct > 0.30 AND ps.gp >= 20 ORDER BY ps.usg_pct DESC;"
players with a true shooting percentage above 65 percent in 2021,"SELECT p.player_name, ps.ts_pct FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22020 AND ps.ts_pct > 0.65 AND ps.gp >= 20 ORDER BY ps.ts_pct DESC;"
players who played all 82 games in 2023,"SELECT p.player_name, pg.gp FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22022 AND pg.gp = 82 ORDER BY p.player_name;"
players who had more than 500 rebounds in 2020,"SELECT p.player_name, pg.reb FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22019 AND pg.reb > 500 ORDER BY pg.reb DESC;"
players who averaged a double double in 2022,"SELECT p.player_name, ps.pts, ps.reb FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22021 AND ps.pts >= 10 AND ps.reb >= 10 ORDER BY ps.pts DESC;"
players who averaged 20 points and 10 rebounds in 2021,"SELECT p.player_name, ps.pts, ps.reb FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22020 AND ps.pts >= 20 AND ps.reb >= 10 ORDER BY ps.pts DESC;"
players who averaged 20 points and 10 assists in 2020,"SELECT p.player_name, ps.pts, ps.ast FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22019 AND ps.pts >= 20 AND ps.ast >= 10 ORDER BY ps.pts DESC;"
players who averaged at least 20-5-5 in 2019,"SELECT p.player_name, ps.pts, ps.reb, ps.ast FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22018 AND ps.pts >= 20 AND ps.reb >= 5 AND ps.ast >= 5 ORDER BY ps.pts DESC;"
players who have scored over 20000 career points,"SELECT p.player_name, SUM(pg.pts) AS career_pts FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id GROUP BY p.player_name HAVING SUM(pg.pts) > 20000 ORDER BY career_pts DESC;"
players who have grabbed over 10000 career rebounds,"SELECT p.player_name, SUM(pg.reb) AS career_reb FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id GROUP BY p.player_name HAVING SUM(pg.reb) > 10000 ORDER BY career_reb DESC;"
players who have over 5000 career assists,"SELECT p.player_name, SUM(pg.ast) AS career_ast FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id GROUP BY p.player_name HAVING SUM(pg.ast) > 5000 ORDER BY career_ast DESC;"
players who have over 2000 career blocks,"SELECT p.player_name, SUM(pg.blk) AS career_blk FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id GROUP BY p.player_name HAVING SUM(pg.blk) > 2000 ORDER BY career_blk DESC;"
players who have over 2000 career steals,"SELECT p.player_name, SUM(pg.stl) AS career_stl FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id GROUP BY p.player_name HAVING SUM(pg.stl) > 2000 ORDER BY career_stl DESC;"
players who have appeared in over 1000 career games,"SELECT p.player_name, SUM(pg.gp) AS career_gp FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id GROUP BY p.player_name HAVING SUM(pg.gp) > 1000 ORDER BY career_gp DESC;"
players who have made over 1000 career three pointers,"SELECT p.player_name, SUM(pg.fg3m) AS career_fg3m FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id GROUP BY p.player_name HAVING SUM(pg.fg3m) > 1000 ORDER BY career_fg3m DESC;"
players who have over 3000 career triple doubles,"SELECT p.player_name, SUM(pg.td3) AS career_td3 FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id GROUP BY p.player_name HAVING SUM(pg.td3) > 100 ORDER BY career_td3 DESC;"
who won the scoring title in 2023,"SELECT p.player_name, ps.pts FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22022 ORDER BY ps.pts DESC LIMIT 1;"
who won the scoring title in 2020,"SELECT p.player_name, ps.pts FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22019 ORDER BY ps.pts DESC LIMIT 1;"
who won the scoring title in 2006,"SELECT p.player_name, ps.pts FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22005 ORDER BY ps.pts DESC LIMIT 1;"
who led the league in assists in 2023,"SELECT p.player_name, ps.ast FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22022 ORDER BY ps.ast DESC LIMIT 1;"
who led the league in rebounds in 2022,"SELECT p.player_name, ps.reb FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22021 ORDER BY ps.reb DESC LIMIT 1;"
who led the league in steals in 2021,"SELECT p.player_name, pg.stl FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22020 ORDER BY pg.stl DESC LIMIT 1;"
who led the league in blocks in 2020,"SELECT p.player_name, pg.blk FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22019 ORDER BY pg.blk DESC LIMIT 1;"
who led the league in three pointers made in 2016,"SELECT p.player_name, pg.fg3m FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22015 ORDER BY pg.fg3m DESC LIMIT 1;"
who led the league in triple doubles in 2017,"SELECT p.player_name, pg.td3 FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22016 ORDER BY pg.td3 DESC LIMIT 1;"
who led the league in plus minus in 2023,"SELECT p.player_name, pg.plus_minus FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22022 ORDER BY pg.plus_minus DESC LIMIT 1;"
who had the highest field goal percentage in 2022,"SELECT p.player_name, pg.fg_pct FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22021 AND pg.fga >= 100 ORDER BY pg.fg_pct DESC LIMIT 1;"
who had the highest three point percentage in 2021,"SELECT p.player_name, pg.fg3_pct FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22020 AND pg.fg3a >= 50 ORDER BY pg.fg3_pct DESC LIMIT 1;"
who had the highest free throw percentage in 2019,"SELECT p.player_name, pg.ft_pct FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22018 AND pg.fta >= 50 ORDER BY pg.ft_pct DESC LIMIT 1;"
who had the best net rating in 2023,"SELECT p.player_name, ps.net_rating FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22022 AND ps.gp >= 20 ORDER BY ps.net_rating DESC LIMIT 1;"
who had the highest usage rate in 2022,"SELECT p.player_name, ps.usg_pct FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22021 AND ps.gp >= 20 ORDER BY ps.usg_pct DESC LIMIT 1;"
who had the best true shooting percentage in 2021,"SELECT p.player_name, ps.ts_pct FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22020 AND ps.gp >= 20 ORDER BY ps.ts_pct DESC LIMIT 1;"
who scored the most points per game in nba history,"SELECT p.player_name, AVG(ps.pts) AS avg_pts FROM player p JOIN player_season ps ON p.player_id = ps.player_id GROUP BY p.player_name ORDER BY avg_pts DESC LIMIT 1;"
who averaged the most rebounds per game in nba history,"SELECT p.player_name, AVG(ps.reb) AS avg_reb FROM player p JOIN player_season ps ON p.player_id = ps.player_id GROUP BY p.player_name ORDER BY avg_reb DESC LIMIT 1;"
who averaged the most assists per game in nba history,"SELECT p.player_name, AVG(ps.ast) AS avg_ast FROM player p JOIN player_season ps ON p.player_id = ps.player_id GROUP BY p.player_name ORDER BY avg_ast DESC LIMIT 1;"
who scored more points LeBron or Jordan,"SELECT p.player_name, SUM(pg.pts) AS career_pts FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE p.player_name IN ('LeBron James', 'Michael Jordan') GROUP BY p.player_name ORDER BY career_pts DESC;"
who has more career rebounds LeBron or Shaq,"SELECT p.player_name, SUM(pg.reb) AS career_reb FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE p.player_name IN ('LeBron James', 'Shaquille O''Neal') GROUP BY p.player_name ORDER BY career_reb DESC;"
compare career assists between Magic Johnson and John Stockton,"SELECT p.player_name, SUM(pg.ast) AS career_ast FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE p.player_name IN ('Magic Johnson', 'John Stockton') GROUP BY p.player_name ORDER BY career_ast DESC;"
compare career blocks between Hakeem Olajuwon and Dikembe Mutombo,"SELECT p.player_name, SUM(pg.blk) AS career_blk FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE p.player_name IN ('Hakeem Olajuwon', 'Dikembe Mutombo') GROUP BY p.player_name ORDER BY career_blk DESC;"
who averaged more points per game Kobe or LeBron,"SELECT p.player_name, AVG(ps.pts) AS avg_pts FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE p.player_name IN ('Kobe Bryant', 'LeBron James') GROUP BY p.player_name ORDER BY avg_pts DESC;"
compare scoring between Curry and Harden in 2019,"SELECT p.player_name, ps.pts FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22018 AND p.player_name IN ('Stephen Curry', 'James Harden');"
compare rebounds between Giannis and Jokic in 2022,"SELECT p.player_name, ps.reb FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22021 AND p.player_name IN ('Giannis Antetokounmpo', 'Nikola Jokic');"
compare all stats between LeBron and Durant in 2013,"SELECT p.player_name, ps.pts, ps.reb, ps.ast, ps.net_rating FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22012 AND p.player_name IN ('LeBron James', 'Kevin Durant');"
who had a better plus minus LeBron or Durant in 2016,"SELECT p.player_name, pg.plus_minus FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22015 AND p.player_name IN ('LeBron James', 'Kevin Durant') ORDER BY pg.plus_minus DESC;"
who had a better net rating Giannis or Jokic in 2020,"SELECT p.player_name, ps.net_rating FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22019 AND p.player_name IN ('Giannis Antetokounmpo', 'Nikola Jokic');"
all games played on Christmas 2022,"SELECT g.game_id, g.date, t.city, t.nickname FROM game g JOIN team t ON g.team_id_home_id = t.team_id WHERE g.date = '2022-12-25';"
all games played on January 1 2023,"SELECT g.game_id, g.date, t.city, t.nickname FROM game g JOIN team t ON g.team_id_home_id = t.team_id WHERE g.date = '2023-01-01';"
how many games did the Lakers play in 2023,SELECT COUNT(DISTINCT pgl.game_id) AS games_played FROM player_game_log pgl JOIN team t ON pgl.team_id = t.team_id WHERE pgl.season_id = 22022 AND t.nickname = 'Lakers';
highest scoring game by a player in 2006,"SELECT p.player_name, pgl.pts, g.date FROM player p JOIN player_game_log pgl ON p.player_id = pgl.player_id JOIN game g ON pgl.game_id = g.game_id WHERE pgl.season_id = 22005 ORDER BY pgl.pts DESC LIMIT 1;"
games where a player scored over 60 points,"SELECT p.player_name, pgl.pts, g.date FROM player p JOIN player_game_log pgl ON p.player_id = pgl.player_id JOIN game g ON pgl.game_id = g.game_id WHERE pgl.pts > 60 ORDER BY pgl.pts DESC;"
games where a player had over 20 rebounds,"SELECT p.player_name, pgl.reb, g.date FROM player p JOIN player_game_log pgl ON p.player_id = pgl.player_id JOIN game g ON pgl.game_id = g.game_id WHERE pgl.reb > 20 ORDER BY pgl.reb DESC;"
games where a player had over 20 assists,"SELECT p.player_name, pgl.ast, g.date FROM player p JOIN player_game_log pgl ON p.player_id = pgl.player_id JOIN game g ON pgl.game_id = g.game_id WHERE pgl.ast > 20 ORDER BY pgl.ast DESC;"
games where a player shot a perfect game from the field,"SELECT p.player_name, pgl.fg_pct, pgl.fga, g.date FROM player p JOIN player_game_log pgl ON p.player_id = pgl.player_id JOIN game g ON pgl.game_id = g.game_id WHERE pgl.fg_pct = 1.0 AND pgl.fga >= 5 ORDER BY pgl.fga DESC;"
all of Kobe's 50 point games,"SELECT p.player_name, pgl.pts, g.date FROM player p JOIN player_game_log pgl ON p.player_id = pgl.player_id JOIN game g ON pgl.game_id = g.game_id WHERE p.player_name = 'Kobe Bryant' AND pgl.pts >= 50 ORDER BY pgl.pts DESC;"
